CropName,KnownTownships,KnownRegions,Latitude,Longitude,BaseYieldKgPerSqm,AvgMarketPriceMMK,PlantingSeason,HarvestingSeason,PredictedYieldPerSqmKg,PredictedTotalYieldKg,PredictedRevenueMMK,PredictedWaterCostMMK,PredictedLaborCostMMK,PredictedFertilizerCostMMK,PredictedProfitMMK,PlantingRecommendation,PlantingRationale,CareInfo,MarketInfo,Summary,KnownTownships_lower,KnownRegions_lower
Sugarcane,Bago,Bago,18.547264,96.266258,,2150.0,Not available,Not available,5.7,570.0,1225500.0,54000.0,,,771885.52,Jan - Apr,Based on general regional suitability and crop timelines.,,,"Sugarcane grows best in sunny, warm regions with fertile soils. Needs abundant water.",bago,bago
Rice,Bago,Bago,18.547264,96.266258,,2150.0,Not available,Not available,0.57,57.0,122550.0,67500.0,,,-23646.09,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,bago,bago
Maize,Bago,Bago,18.547264,96.266258,,2150.0,Not available,Not available,0.71,71.25,153187.5,36000.0,,,42698.09,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,bago,bago
Sesame,Magway,Magway,20.134962,94.930274,,2275.0,Not available,Not available,0.36,35.62,81035.5,36000.0,,,-23183.36,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",magway,magway
Groundnut,Magway,Magway,20.134962,94.930274,,2275.0,Not available,Not available,0.43,42.75,97256.25,22500.0,,,14684.69,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,magway,magway
Beans,Magway,Magway,20.134962,94.930274,,2275.0,Not available,Not available,0.85,85.5,194512.5,27000.0,,,105966.92,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",magway,magway
Rice,Kayah,Kayah,18.789824,97.511623,,2400.0,Not available,Not available,0.57,57.0,136800.0,67500.0,,,-11337.5,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayah,kayah
Sesame,Kayah,Kayah,18.789824,97.511623,,2400.0,Not available,Not available,0.36,35.62,85488.0,36000.0,,,-15176.16,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",kayah,kayah
Groundnut,Kayah,Kayah,18.789824,97.511623,,2400.0,Not available,Not available,0.43,42.75,102600.0,22500.0,,,17331.0,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,kayah,kayah
Banana,Kayin,Kayin,16.887253,97.641739,,1750.0,Not available,Not available,2.14,213.75,374062.5,63000.0,,,178841.48,"Year-round, but best at the start of the monsoon",Based on general regional suitability and crop timelines.,,,"Bananas need rich, moist soils and frequent watering. Protect from wind and apply mulch.",kayin,kayin
Cassava,Kayin,Kayin,16.887253,97.641739,,1750.0,Not available,Not available,0.36,35.62,62335.0,36000.0,,,-38418.09,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,kayin,kayin
Rice,Kayin,Kayin,16.887253,97.641739,,1750.0,Not available,Not available,0.57,57.0,99750.0,67500.0,,,-45511.43,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayin,kayin
Cashew,Mon,Mon,16.581927,97.539127,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-9567.22,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Rubber,Mon,Mon,16.581927,97.539127,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-8172.79,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Betel Nut,Mon,Mon,16.581927,97.539127,,2725.0,Not available,Not available,0.36,35.62,97064.5,36000.0,,,-7481.1,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Rice,Ayeyarwady,Ayeyarwady,17.615839,95.424918,,1500.0,Not available,Not available,0.57,57.0,85500.0,67500.0,,,-46665.63,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Chickpea,Ayeyarwady,Ayeyarwady,17.615839,95.424918,,1500.0,Not available,Not available,0.36,35.62,53430.0,36000.0,,,-44910.4,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.615839,95.424918,,1500.0,Not available,Not available,0.5,49.87,74805.0,31500.0,,,-13075.2,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Mango,Naypyidaw,Naypyidaw,19.763951,96.102948,,2350.0,Not available,Not available,0.85,85.5,200925.0,40500.0,,,63646.7,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",naypyidaw,naypyidaw
Vegetables,Naypyidaw,Naypyidaw,19.763951,96.102948,,2350.0,Not available,Not available,1.07,106.87,251144.5,31500.0,,,109723.92,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Paddy,Naypyidaw,Naypyidaw,19.763951,96.102948,,2350.0,Not available,Not available,0.57,57.0,133950.0,67500.0,,,-14727.44,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Tea,Shan,Shan,21.015489,97.035193,,2775.0,Not available,Not available,0.36,35.62,98845.5,36000.0,,,-34129.1,Year-round in suitable climates (highland),Based on general regional suitability and crop timelines.,,,"Tea plants grow best in humid, highland areas with acidic soils. Regular pruning improves leaf quality.",shan,shan
Potato,Shan,Shan,21.015489,97.035193,,2775.0,Not available,Not available,0.36,35.62,98845.5,36000.0,,,-6857.15,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,shan,shan
Strawberry,Shan,Shan,21.015489,97.035193,,2775.0,Not available,Not available,1.42,142.5,395437.5,36000.0,,,159362.19,Cool-Dry Season (Oct - Nov),Based on general regional suitability and crop timelines.,,,"Strawberries need cool temperatures, rich soil, and regular irrigation. Mulch to retain moisture.",shan,shan
Paddy,Yangon,Yangon,16.78293,96.176541,,2050.0,Not available,Not available,0.57,57.0,116850.0,67500.0,,,-30582.49,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Vegetables,Yangon,Yangon,16.78293,96.176541,,2050.0,Not available,Not available,1.07,106.87,219083.5,31500.0,,,88467.62,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Lentil,Yangon,Yangon,16.78293,96.176541,,2050.0,Not available,Not available,0.29,28.5,58425.0,18000.0,,,-1108.36,Sep - Nov,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Oil Palm,Tanintharyi,Tanintharyi,12.963759,99.865392,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11347.4,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Rubber,Tanintharyi,Tanintharyi,12.963759,99.865392,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-12783.42,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Durian,Tanintharyi,Tanintharyi,12.963759,99.865392,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-10944.74,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Areca Nut,Rakhine,Rakhine,20.378435,93.340983,,1800.0,Not available,Not available,0.36,35.62,64116.0,36000.0,,,-35478.76,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Chili,Rakhine,Rakhine,20.378435,93.340983,,1800.0,Not available,Not available,0.36,35.62,64116.0,36000.0,,,-32268.07,"Year-round, prefers warm and dry conditions",Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Rice,Rakhine,Rakhine,20.378435,93.340983,,1800.0,Not available,Not available,0.57,57.0,102600.0,67500.0,,,-41319.71,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,rakhine,rakhine
Millet,Chin,Chin,21.183543,93.592345,,1725.0,Not available,Not available,0.5,49.87,86025.75,22500.0,,,16800.49,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Potato,Chin,Chin,21.183543,93.592345,,1725.0,Not available,Not available,0.36,35.62,61444.5,36000.0,,,-36134.44,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Corn,Chin,Chin,21.183543,93.592345,,1725.0,Not available,Not available,0.71,71.25,122906.25,36000.0,,,19171.67,May - Jul,Based on general regional suitability and crop timelines.,,,"Corn is a high-yield cereal crop, adaptable to many climates. It thrives in well-drained soils and full sunlight.",chin,chin
Chickpea,Ayeyarwady,Ayeyarwady,17.535293,95.375481,,1475.0,Not available,Not available,0.36,35.62,52539.5,36000.0,,,-42824.1,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Rice,Ayeyarwady,Ayeyarwady,17.535293,95.375481,,1475.0,Not available,Not available,0.57,57.0,84075.0,67500.0,,,-59445.25,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.535293,95.375481,,1475.0,Not available,Not available,0.5,49.87,73558.25,31500.0,,,-13084.05,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Maize,Bago,Bago,18.622348,96.294102,,2175.0,Not available,Not available,0.71,71.25,154968.75,36000.0,,,39042.0,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,bago,bago
Rice,Bago,Bago,18.622348,96.294102,,2175.0,Not available,Not available,0.57,57.0,123975.0,67500.0,,,-25366.76,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,bago,bago
Sugarcane,Bago,Bago,18.622348,96.294102,,2175.0,Not available,Not available,5.7,570.0,1239750.0,54000.0,,,881174.7,Jan - Apr,Based on general regional suitability and crop timelines.,,,"Sugarcane grows best in sunny, warm regions with fertile soils. Needs abundant water.",bago,bago
Beans,Magway,Magway,20.188973,94.876839,,2225.0,Not available,Not available,0.85,85.5,190237.5,27000.0,,,85968.18,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",magway,magway
Sesame,Magway,Magway,20.188973,94.876839,,2225.0,Not available,Not available,0.36,35.62,79254.5,36000.0,,,-19694.27,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",magway,magway
Groundnut,Magway,Magway,20.188973,94.876839,,2225.0,Not available,Not available,0.43,42.75,95118.75,22500.0,,,13212.22,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,magway,magway
Groundnut,Kayah,Kayah,18.777219,97.525271,,2450.0,Not available,Not available,0.43,42.75,104737.5,22500.0,,,19129.63,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,kayah,kayah
Rice,Kayah,Kayah,18.777219,97.525271,,2450.0,Not available,Not available,0.57,57.0,139650.0,67500.0,,,-9449.02,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayah,kayah
Sesame,Kayah,Kayah,18.777219,97.525271,,2450.0,Not available,Not available,0.36,35.62,87269.0,36000.0,,,-17237.41,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",kayah,kayah
Banana,Kayin,Kayin,16.889537,97.646197,,1775.0,Not available,Not available,2.14,213.75,379406.25,63000.0,,,195514.63,"Year-round, but best at the start of the monsoon",Based on general regional suitability and crop timelines.,,,"Bananas need rich, moist soils and frequent watering. Protect from wind and apply mulch.",kayin,kayin
Rice,Kayin,Kayin,16.889537,97.646197,,1775.0,Not available,Not available,0.57,57.0,101175.0,67500.0,,,-45800.59,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayin,kayin
Cassava,Kayin,Kayin,16.889537,97.646197,,1775.0,Not available,Not available,0.36,35.62,63225.5,36000.0,,,-35143.18,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,kayin,kayin
Rubber,Mon,Mon,16.579284,97.54128,,2675.0,Not available,Not available,0.36,35.62,95283.5,36000.0,,,-10639.99,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
